# The Violet Project: spawns.dat
# Monster Spawns Data

Npc ([32535,31773,1], "thanita")
Npc ([33212,32452,1], "kasmir")
Npc ([33102,32520,1], "gabel")
Npc ([33044,32621,1], "malor")
Npc ([32796,31557,2], "an old dragonlord")
Npc ([32698,31718,2], "edala")
Npc ([32479,31902,2], "riddler")
Npc ([33104,32520,2], "nah'bob")
Npc ([33045,32620,2], "yaman")
Npc ([32697,31674,3], "a sweaty cyclops")
Npc ([33192,31783,3], "pino")
Npc ([33256,31839,3], "alexander")
Npc ([32627,31923,3], "emperor kruzak")
Npc ([32586,31928,3], "tulf")
Npc ([33101,32520,3], "djema")
Npc ([32537,31836,4], "uzon")
Npc ([33256,31838,4], "thomas")
Npc ([33268,31849,4], "zoltan")
Npc ([32102,32130,4], "blind orc")
Npc ([32897,32145,4], "sylvester")
Npc ([32137,32171,4], "hyacinth")
Npc ([33108,32525,4], "haroun")
Npc ([33048,32620,4], "baa'leal")
Npc ([33156,32810,4], "dario")
Npc ([33150,32842,4], "arkhothep")
Npc ([32204,31788,5], "an apparition")
Npc ([32191,31811,5], "a ghostly woman")
Npc ([33254,31840,5], "luna")
Npc ([33268,31849,5], "gundralph")
Npc ([32626,31917,5], "etzel")
Npc ([32626,31923,5], "sigurd")
Npc ([32979,32035,5], "talesia")
Npc ([33018,32047,5], "dagomir")
Npc ([32921,32068,5], "boozer")
Npc ([32976,32079,5], "vladruc")
Npc ([32883,32082,5], "leeland")
Npc ([32951,32103,5], "hugo")
Npc ([32907,32116,5], "abran ironeye")
Npc ([32307,32185,5], "trimegis")
Npc ([33101,32520,5], "bo'ques")
Npc ([33106,32541,5], "fa'hradin")
Npc ([33048,32621,5], "alesar")
Npc ([32621,32739,5], "tandros")
Npc ([32635,32739,5], "perod")
Npc ([32621,32747,5], "zaidal")
Npc ([33160,32810,5], "ormuhn")
Npc ([33130,32811,5], "mehkesh")
Npc ([33131,32820,5], "fenech")
Npc ([32670,31657,6], "shiriel")
Npc ([32651,31665,6], "ukea")
Npc ([32359,31683,6], "humphrey")
Npc ([32661,31685,6], "eroth")
Npc ([32672,31699,6], "roderick")
Npc ([32642,31709,6], "elf guard")
Npc ([32315,31756,6], "bunny bonecrusher")
Npc ([33214,31793,6], "willard")
Npc ([33174,31801,6], "mirabell")
Npc ([33214,31803,6], "beatrice")
Npc ([33212,31812,6], "rudolph")
Npc ([32348,31828,6], "lea")
Npc ([32726,31980,6], "wyda")
Npc ([32569,32018,6], "kevin")
Npc ([32885,32031,6], "christoph")
Npc ([32971,32034,6], "rose")
Npc ([32982,32036,6], "livielle")
Npc ([32971,32041,6], "rodney")
Npc ([33015,32048,6], "carina")
Npc ([33006,32053,6], "jean claude")
Npc ([33021,32053,6], "rokyn")
Npc ([33015,32058,6], "odemara")
Npc ([32991,32062,6], "allen")
Npc ([33000,32065,6], "yulas")
Npc ([32992,32068,6], "borkas")
Npc ([32945,32070,6], "arnold")
Npc ([32883,32076,6], "julian")
Npc ([32914,32076,6], "dustrunner")
Npc ([32890,32077,6], "chephan")
Npc ([32914,32080,6], "lightfoot")
Npc ([32971,32080,6], "frans")
Npc ([32981,32080,6], "chatterbone")
Npc ([32883,32086,6], "nelliem")
Npc ([32890,32086,6], "shiantis")
Npc ([32970,32087,6], "digger")
Npc ([32979,32087,6], "smiley")
Npc ([32958,32088,6], "ashtamor")
Npc ([32953,32103,6], "norbert")
Npc ([32943,32104,6], "velvet")
Npc ([32953,32110,6], "aldo")
Npc ([32909,32111,6], "yanni")
Npc ([32904,32117,6], "xed")
Npc ([32913,32117,6], "romella")
Npc ([32875,32125,6], "alwin")
Npc ([32935,32141,6], "warbert")
Npc ([32537,32143,6], "hoggle")
Npc ([32310,32170,6], "stutch")
Npc ([32312,32170,6], "harsky")
Npc ([32311,32171,6], "king tibianus")
Npc ([32315,32178,6], "noodles")
Npc ([32093,32180,6], "dallheim")
Npc ([32035,32183,6], "the gatekeeper")
Npc ([32348,32184,6], "chester kahs")
Npc ([32104,32190,6], "the oracle")
Npc ([32407,32202,6], "gregor")
Npc ([32022,32203,6], "zerbrus")
Npc ([32105,32207,6], "dixi")
Npc ([32363,32210,6], "todd")
Npc ([32428,32226,6], "tim, the guard")
Npc ([32342,32246,6], "galuna")
Npc ([32287,32252,6], "robin")
Npc ([32816,32260,6], "oldrak")
Npc ([32303,32267,6], "lungelen")
Npc ([32346,32363,6], "norf")
Npc ([33231,32389,6], "kazzan")
Npc ([33240,32393,6], "morun")
Npc ([33270,32439,6], "chemar")
Npc ([33102,32531,6], "umar")
Npc ([32826,32574,6], "hairycles")
Npc ([33046,32622,6], "ubaid")
Npc ([32621,32738,6], "gail")
Npc ([32634,32738,6], "ferks")
Npc ([32621,32747,6], "ray")
Npc ([32634,32747,6], "brengus")
Npc ([32580,32751,6], "myra")
Npc ([32572,32753,6], "helor")
Npc ([32580,32757,6], "ustan")
Npc ([32529,32785,6], "charles")
Npc ([33126,32810,6], "ahmet")
Npc ([33135,32810,6], "memech")
Npc ([33126,32821,6], "jezzara")
Npc ([33135,32821,6], "tesha")
Npc ([33148,32867,6], "tothdral")
Npc ([33069,32886,6], "arito")
Npc ([32044,31582,7], "svenson")
Npc ([32692,31589,7], "brasith")
Npc ([32486,31604,7], "bruno")
Npc ([32669,31607,7], "elvith")
Npc ([32688,31610,7], "irea")
Npc ([32489,31622,7], "graubart")
Npc ([32483,31624,7], "marlene")
Npc ([32499,31626,7], "mortimer")
Npc ([32732,31631,7], "maealil")
Npc ([32138,31659,7], "scott")
Npc ([32669,31659,7], "anerui")
Npc ([32127,31660,7], "anderson")
Npc ([32426,31666,7], "aneus")
Npc ([32734,31669,7], "captain seagull")
Npc ([32138,31672,7], "vera")
Npc ([32660,31673,7], "faluae")
Npc ([32232,31677,7], "nielson")
Npc ([32029,31692,7], "carlson")
Npc ([32675,31698,7], "olrik")
Npc ([32348,31748,7], "trisha")
Npc ([32341,31749,7], "bambi bonecrusher")
Npc ([32320,31752,7], "barbara")
Npc ([32315,31753,7], "queen eloise")
Npc ([32320,31755,7], "fenbala")
Npc ([32211,31756,7], "dalbrect")
